split,y_true,y_pred
train,24.0,19.792469962820352
train,36.0,51.44136867674494
train,63.0,48.67674626079063
train,24.0,26.334803755962994
train,61.0,59.45250693756988
train,44.0,45.64252146227641
train,54.0,46.0674737584796
train,59.0,59.59453056908545
train,34.0,36.089123121863935
train,15.0,26.016696703723916
train,44.0,38.180647526528304
train,56.0,49.69857945612891
train,18.0,20.589598338841824
train,44.0,48.54985721703794
train,34.0,33.03270282233072
train,56.0,52.22524872421023
train,24.0,44.35323388812909
train,56.0,48.441465703269486
train,18.0,21.206691723279704
train,42.0,39.38034867404417
train,24.0,22.26456473183746
train,42.0,42.71803487726797
train,48.0,54.46383931316388
train,36.0,48.67360761309009
train,68.0,61.566987054742704
train,61.0,57.639844725323286
train,61.0,58.05527493993526
train,63.0,53.4466650467305
train,18.0,46.87191077699846
train,30.0,35.256113786975966
train,15.0,33.732010877003404
train,34.0,50.41805275813816
train,40.0,44.6248371648977
train,61.0,56.17537612082784
train,46.0,48.7724076224545
train,59.0,53.40505843802099
train,24.0,23.145146053354072
train,24.0,25.683616108307366
train,30.0,42.82438858219155
train,68.0,55.94696450160802
train,36.0,36.826083672270784
train,36.0,50.24589801759279
train,24.0,26.83117169609898
train,61.0,57.66073491769199
train,34.0,32.68929819008735
train,56.0,45.14344469007986
train,15.0,20.171656739322643
train,34.0,36.0492733844978
train,46.0,51.28854789671702
train,56.0,50.56951589536732
train,15.0,37.269434441228675
train,63.0,51.50715747107427
train,68.0,58.93264336830117
train,48.0,54.67854606987261
train,30.0,37.28520980112023
train,48.0,52.81742420334869
train,50.0,52.45118175320266
train,18.0,36.3687190693076
train,50.0,39.43351882347644
train,38.0,32.78177417437329
train,18.0,16.567443677936836
train,15.0,53.511789879052785
train,34.0,40.021819870005544
train,63.0,41.76804898998219
train,38.0,41.81180444073381
train,34.0,46.451955154358096
train,24.0,25.373374658183174
train,50.0,47.26494310003963
train,34.0,31.104525304250064
train,30.0,35.8682054699118
train,56.0,52.46986084677217
train,48.0,53.55077887441855
train,44.0,45.75697106039442
train,50.0,32.611271033854635
train,18.0,13.980922088975799
train,59.0,40.625320578776936
train,18.0,20.735163106646205
train,18.0,17.419409363857934
train,48.0,52.48972033346617
train,63.0,46.38041467532041
train,24.0,22.42692781128657
train,46.0,47.6270912683432
train,40.0,44.80091987718672
train,68.0,59.73500891135821
train,56.0,50.530278335553874
train,34.0,35.249136474302475
train,46.0,37.84562340804431
train,42.0,24.869846356989346
train,24.0,25.39965849330185
train,24.0,22.43092292452177
train,15.0,28.791878180549155
train,54.0,46.39028026040347
train,54.0,51.25171961527283
train,63.0,54.974908373006
train,46.0,45.40260527625301
train,36.0,32.646720509582565
train,50.0,52.29395900462113
train,18.0,19.23170132261955
train,24.0,27.351756639073614
train,68.0,59.50935630141591
train,50.0,53.6284960385875
train,18.0,39.6214426543678
train,50.0,54.1390986101064
train,30.0,37.76819025596036
train,56.0,43.41481370045675
train,59.0,60.302670629149134
train,34.0,34.037913455558176
train,15.0,26.71975334644847
train,56.0,52.793291326323846
train,50.0,52.995994161809996
train,38.0,46.33730280994876
train,59.0,59.925115257590754
train,52.0,53.57017786920108
train,68.0,60.12011430222796
train,48.0,55.21688320581423
train,18.0,22.815943876608838
train,59.0,44.877941339809816
train,48.0,57.26678594171669
train,38.0,34.95766900884157
train,59.0,46.15690940156719
train,54.0,55.98357601537791
train,59.0,62.73623702412996
train,68.0,56.07645022099351
train,18.0,50.81360839433124
train,63.0,50.61862695581466
train,38.0,36.898670883812805
train,63.0,49.71473207164302
train,48.0,51.108179192004386
train,30.0,39.07417190141749
train,50.0,53.959826102715425
train,34.0,33.24657636662499
train,61.0,56.233543577312304
train,40.0,43.8156202822866
train,50.0,52.67247443201259
train,56.0,49.71470442340025
train,44.0,43.61536407422738
train,15.0,30.46111072325968
train,15.0,39.88741260530892
train,40.0,44.01686693876615
train,36.0,32.19700160036133
train,15.0,29.753944897679585
train,24.0,24.08073256440986
train,52.0,50.296867368354164
train,59.0,43.980193723785554
train,52.0,48.727780814232425
train,56.0,51.3206368036535
train,48.0,51.4141627065747
train,50.0,53.757471144605006
train,50.0,48.37711927029794
train,59.0,60.94753739642479
train,68.0,58.27918074945209
train,38.0,40.94827243393909
train,24.0,25.323525224305364
train,50.0,50.124593490508204
train,30.0,40.737744319128815
train,52.0,43.18080486428841
train,24.0,25.083105534314384
train,54.0,63.704917081708714
train,63.0,52.48747816939778
train,56.0,44.173536115651665
train,44.0,40.06137492761161
train,68.0,44.082944195166284
train,24.0,23.66703330978618
train,63.0,49.99389076098682
train,46.0,45.769769595416435
