var1,var2,r,abs_r,banda
mag_mean,mag_percentile_25,0.9957090384393938,0.9957090384393938,0.99 <= |r| < 1.00
mag_mean,mag_percentile_95,0.9954280628749064,0.9954280628749064,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_unwrap_k_slope_var,0.9954211821914021,0.9954211821914021,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_m_rms_abs,0.9954211821914019,0.9954211821914019,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_jump_m_rms_abs,0.9953621574558958,0.9953621574558958,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_unwrap_m_slope_rms,0.9953621574558956,0.9953621574558956,0.99 <= |r| < 1.00
mag_percentile_50,mag_percentile_95,0.9951981746396807,0.9951981746396807,0.99 <= |r| < 1.00
mag_percentile_25,mag_percentile_50,0.995096992607996,0.995096992607996,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,phase_jump_k_mean_abs,0.9948413028594661,0.9948413028594661,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_jump_k_mean_abs,0.9948413028594659,0.9948413028594659,0.99 <= |r| < 1.00
mag_max,mag_percentile_99,0.9947952636584543,0.9947952636584543,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,pdp_rms_delay_spread,0.9946816650665127,0.9946816650665127,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,pdp_rms_delay_spread,0.9946816650665126,0.9946816650665126,0.99 <= |r| < 1.00
mag_rms,mag_percentile_25,0.9946096367893443,0.9946096367893443,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_m_rms_abs,-0.9945534755714982,0.9945534755714982,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_unwrap_k_var,-0.9945534755714981,0.9945534755714981,0.99 <= |r| < 1.00
mag_rms,mag_percentile_99,0.994003722866015,0.994003722866015,0.99 <= |r| < 1.00
mag_percentile_25,svd_sigma_1,0.9937124658030169,0.9937124658030169,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_jump_m_rms_abs,0.9934883839956398,0.9934883839956398,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_unwrap_k_slope_mean,0.9934883839956395,0.9934883839956395,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_jump_m_rms_abs,0.9932428829544431,0.9932428829544431,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_m_slope_rms,0.9932428829544431,0.9932428829544431,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_unwrap_k_mean,0.9930568983358976,0.9930568983358976,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_jump_m_rms_abs,0.9930568983358975,0.9930568983358975,0.99 <= |r| < 1.00
mag_mean,mag_percentile_99,0.9926675116834354,0.9926675116834354,0.99 <= |r| < 1.00
mag_max,mag_percentile_95,0.9926338096388259,0.9926338096388259,0.99 <= |r| < 1.00
phase_jump_m_max_abs,phase_jump_k_max_abs,0.9925476056416429,0.9925476056416429,0.99 <= |r| < 1.00
mag_percentile_50,mag_percentile_99,0.9923931758949964,0.9923931758949964,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,pdp_papr_linear,-0.9922951025330555,0.9922951025330555,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,pdp_papr_linear,-0.9922951025330553,0.9922951025330553,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,pdp_los_ratio,-0.9922951023947458,0.9922951023947458,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,pdp_los_ratio,-0.9922951023947458,0.9922951023947458,0.99 <= |r| < 1.00
mag_percentile_95,svd_sigma_1,0.9915308792017288,0.9915308792017288,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,pdp_rms_delay_spread,0.9897756489859103,0.9897756489859103,0.95 <= |r| < 0.99
phase_jump_m_mean_abs,pdp_papr_linear,-0.989080477770549,0.989080477770549,0.95 <= |r| < 0.99
phase_jump_m_mean_abs,pdp_los_ratio,-0.9890804775776415,0.9890804775776415,0.95 <= |r| < 0.99
mag_percentile_99,mag_dynamic_range_linear,0.9890501364432641,0.9890501364432641,0.95 <= |r| < 0.99
pdp_papr_linear,pdp_rms_delay_spread,-0.9889980635193776,0.9889980635193776,0.95 <= |r| < 0.99
pdp_rms_delay_spread,pdp_los_ratio,-0.9889980634860703,0.9889980634860703,0.95 <= |r| < 0.99
mag_percentile_25,mag_percentile_75,0.988577233400777,0.988577233400777,0.95 <= |r| < 0.99
mag_max,mag_percentile_75,0.9882999530627291,0.9882999530627291,0.95 <= |r| < 0.99
mag_energy_total,pdp_los_peak_power,0.9879906352942213,0.9879906352942213,0.95 <= |r| < 0.99
pdp_los_peak_power,pdp_total_energy,0.9879906352942156,0.9879906352942156,0.95 <= |r| < 0.99
mag_percentile_99,svd_sigma_1,0.9878288288007542,0.9878288288007542,0.95 <= |r| < 0.99
phase_jump_k_var_abs,pdp_papr_linear,-0.9873244375031216,0.9873244375031216,0.95 <= |r| < 0.99
phase_jump_k_var_abs,pdp_los_ratio,-0.9873244372884337,0.9873244372884337,0.95 <= |r| < 0.99
phase_jump_m_var_abs,pdp_papr_linear,-0.9868260816285483,0.9868260816285483,0.95 <= |r| < 0.99
phase_jump_m_var_abs,pdp_los_ratio,-0.9868260814145364,0.9868260814145364,0.95 <= |r| < 0.99
mag_rms,mag_max,0.986795100488056,0.986795100488056,0.95 <= |r| < 0.99
phase_jump_k_var_abs,pdp_rms_delay_spread,0.9867531781462859,0.9867531781462859,0.95 <= |r| < 0.99
phase_unwrap_k_slope_rms,pdp_papr_linear,-0.9859509175709436,0.9859509175709436,0.95 <= |r| < 0.99
phase_jump_k_rms_abs,pdp_papr_linear,-0.9859509175709433,0.9859509175709433,0.95 <= |r| < 0.99
phase_unwrap_k_slope_rms,pdp_los_ratio,-0.9859509173397517,0.9859509173397517,0.95 <= |r| < 0.99
phase_jump_k_rms_abs,pdp_los_ratio,-0.9859509173397515,0.9859509173397515,0.95 <= |r| < 0.99
mag_energy_total,mag_dynamic_range_linear,0.985819950093598,0.985819950093598,0.95 <= |r| < 0.99
mag_dynamic_range_linear,pdp_total_energy,0.9858199500935886,0.9858199500935886,0.95 <= |r| < 0.99
mag_percentile_95,mag_dynamic_range_linear,0.9856542427045615,0.9856542427045615,0.95 <= |r| < 0.99
phase_jump_m_var_abs,pdp_rms_delay_spread,0.9855252635154943,0.9855252635154943,0.95 <= |r| < 0.99
mag_max,mag_percentile_50,0.9853279620848855,0.9853279620848855,0.95 <= |r| < 0.99
mag_mean,mag_max,0.9853218826227824,0.9853218826227824,0.95 <= |r| < 0.99
doppler_centroid,doppler_spread,0.9846590698421139,0.9846590698421139,0.95 <= |r| < 0.99
phase_jump_k_rms_abs,pdp_rms_delay_spread,0.9841888544024602,0.9841888544024602,0.95 <= |r| < 0.99
phase_unwrap_k_slope_rms,pdp_rms_delay_spread,0.9841888544024601,0.9841888544024601,0.95 <= |r| < 0.99
mag_percentile_5,mag_percentile_25,0.9840499925538305,0.9840499925538305,0.95 <= |r| < 0.99
pdp_papr_linear,pdp_mean_delay,-0.9839309695633869,0.9839309695633869,0.95 <= |r| < 0.99
pdp_mean_delay,pdp_los_ratio,-0.9839309693142736,0.9839309693142736,0.95 <= |r| < 0.99
pdp_papr_linear,svd_energy_ratio_mode1,0.9838860358372656,0.9838860358372656,0.95 <= |r| < 0.99
pdp_los_ratio,svd_energy_ratio_mode1,0.9838860355872697,0.9838860355872697,0.95 <= |r| < 0.99
phase_unwrap_k_slope_var,pdp_papr_linear,-0.9836118417922202,0.9836118417922202,0.95 <= |r| < 0.99
phase_unwrap_k_slope_var,pdp_los_ratio,-0.9836118415387214,0.9836118415387214,0.95 <= |r| < 0.99
phase_unwrap_m_slope_var,pdp_papr_linear,-0.9834872288460292,0.9834872288460292,0.95 <= |r| < 0.99
phase_unwrap_m_slope_var,pdp_los_ratio,-0.9834872285927008,0.9834872285927008,0.95 <= |r| < 0.99
mag_percentile_25,mag_percentile_95,0.9833945782409005,0.9833945782409005,0.95 <= |r| < 0.99
phase_jump_k_mean_abs,pdp_papr_linear,-0.9829194927586866,0.9829194927586866,0.95 <= |r| < 0.99
phase_jump_k_mean_abs,pdp_los_ratio,-0.9829194924996787,0.9829194924996787,0.95 <= |r| < 0.99
phase_unwrap_k_var,pdp_papr_linear,0.9825338515971199,0.9825338515971199,0.95 <= |r| < 0.99
phase_unwrap_k_var,pdp_los_ratio,0.9825338513327685,0.9825338513327685,0.95 <= |r| < 0.99
pdp_mean_delay,pdp_rms_delay_spread,0.9815708708426174,0.9815708708426174,0.95 <= |r| < 0.99
pdp_rms_delay_spread,svd_energy_ratio_mode1,-0.9815430185907277,0.9815430185907277,0.95 <= |r| < 0.99
